field_position,field_name,official_field_name,sf_loan_performance_applicability,type,availability_assessment,v01_usage_decision,rationale
1,reference_pool_id,Reference Pool ID,NA,ALPHA-NUMERIC,not a predictor,exclude_identifier,Identifier; retained only for joins and panel keys.
2,loan_identifier,Loan Identifier,√,ALPHA-NUMERIC,not a predictor,exclude_identifier,Identifier; retained only for joins and panel keys.
3,monthly_reporting_period,Monthly Reporting Period,√,DATE,at observation month,index_only,Time index; retained for temporal split and label alignment.
4,channel,Channel,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
5,seller_name,Seller Name,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
6,servicer_name,Servicer Name,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
7,master_servicer,Master Servicer,NA,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
8,original_interest_rate,Original Interest Rate,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
9,current_interest_rate,Current Interest Rate,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
10,original_upb,Original UPB,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
11,upb_at_issuance,UPB at Issuance,NA,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
12,current_actual_upb,Current Actual UPB,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
13,original_loan_term,Original Loan Term,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
14,origination_date,Origination Date,√,DATE,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
15,first_payment_date,First Payment Date,√,DATE,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
16,loan_age,Loan Age,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
17,remaining_months_to_legal_maturity,Remaining Months to Legal Maturity,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
18,remaining_months_to_maturity,Remaining Months To Maturity,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
19,maturity_date,Maturity Date,√,DATE,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
20,original_loan_to_value_ratio_ltv,Original Loan to Value Ratio (LTV),√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
21,original_combined_loan_to_value_ratio_cltv,Original Combined Loan to Value Ratio (CLTV),√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
22,number_of_borrowers,Number of Borrowers,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
23,debt_to_income_dti,Debt-To-Income (DTI),√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
24,borrower_credit_score_at_origination,Borrower Credit Score at Origination,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
25,co_borrower_credit_score_at_origination,Co-Borrower Credit Score at Origination,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
26,first_time_home_buyer_indicator,First Time Home Buyer Indicator,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
27,loan_purpose,Loan Purpose,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
28,property_type,Property Type,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
29,number_of_units,Number of Units,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
30,occupancy_status,Occupancy Status,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
31,property_state,Property State,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
32,metropolitan_statistical_area_msa_or_metropolitan_statistical_division_area_msda,Metropolitan Statistical Area (MSA) or Metropolitan Statistical Division Area (MSDA),√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
33,zip_code_short,Zip Code Short,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
34,mortgage_insurance_percentage,Mortgage Insurance Percentage,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
35,amortization_type,Amortization Type,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
36,prepayment_penalty_indicator,Prepayment Penalty Indicator,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
37,interest_only_loan_indicator,Interest Only Loan Indicator,√,ALPHA-NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
38,interest_only_first_principal_and_interest_payment_date,Interest Only First Principal And Interest Payment Date,√,DATE,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
39,months_to_amortization,Months to Amortization,√,NUMERIC,origination or known at observation,candidate_feature,Static origination characteristic; fit transformations on training data only.
40,current_loan_delinquency_status,Current Loan Delinquency Status,√,ALPHA-NUMERIC,at observation month,candidate_feature,Current or historical context available at the prediction date.
41,loan_payment_history,Loan Payment History,√,ALPHA-NUMERIC,history through observation month only,candidate_feature_conditional,Use only trailing history known at time t; validate parser before modelling.
42,modification_flag,Modification Flag,√,ALPHA-NUMERIC,at observation month,candidate_feature,Current or historical context available at the prediction date.
